"rt","response","dr","drt","observed","subject","condition"
0.7051,1,FALSE,0,1,"s1","speed"
0.4821,1,FALSE,0,1,"s1","speed"
0.5738,1,FALSE,0,1,"s1","speed"
1.0374,0,FALSE,0,1,"s1","speed"
0.6621,1,FALSE,0,1,"s1","speed"
0.4998,1,FALSE,0,1,"s1","speed"
0.4504,0,FALSE,0,1,"s1","speed"
0.6797,1,FALSE,0,1,"s1","speed"
0.3947,1,FALSE,0,1,"s1","speed"
0.3314,0,FALSE,0,1,"s1","speed"
0.3965,0,FALSE,0,1,"s1","speed"
0.626,1,FALSE,0,1,"s1","speed"
0.5608,1,FALSE,0,1,"s1","speed"
0.4758,1,FALSE,0,1,"s1","speed"
0.3967,1,FALSE,0,1,"s1","speed"
0.3099,0,FALSE,0,1,"s1","speed"
0.4231,1,FALSE,0,1,"s1","speed"
0.5706,1,FALSE,0,1,"s1","speed"
0.457,1,FALSE,0,1,"s1","speed"
0.4885,1,FALSE,0,1,"s1","speed"
0.4463,1,FALSE,0,1,"s1","speed"
0.5508,1,FALSE,0,1,"s1","speed"
0.4391,1,FALSE,0,1,"s1","speed"
0.3359,0,FALSE,0,1,"s1","speed"
0.5695,1,FALSE,0,1,"s1","speed"
0.477,1,FALSE,0,1,"s1","speed"
0.5648,1,FALSE,0,1,"s1","speed"
0.6067,1,FALSE,0,1,"s1","speed"
0.387,0,FALSE,0,1,"s1","speed"
0.4472,0,FALSE,0,1,"s1","speed"
0.8096,0,TRUE,0.1617,1,"s1","speed"
0.7855,1,FALSE,0,1,"s1","speed"
0.5192,0,FALSE,0,1,"s1","speed"
0.5584,0,FALSE,0,1,"s1","speed"
0.5764,0,FALSE,0,1,"s1","speed"
0.7913,1,FALSE,0,1,"s1","speed"
0.4875,1,FALSE,0,1,"s1","speed"
0.3598,1,FALSE,0,1,"s1","speed"
0.3512,0,FALSE,0,1,"s1","speed"
0.3861,0,FALSE,0,1,"s1","speed"
0.5065,0,FALSE,0,1,"s1","speed"
0.4725,1,FALSE,0,1,"s1","speed"
0.3221,0,FALSE,0,1,"s1","speed"
0.5938,1,FALSE,0,1,"s1","speed"
0.5146,1,FALSE,0,1,"s1","speed"
0.297,0,FALSE,0,1,"s1","speed"
0.4108,0,FALSE,0,1,"s1","speed"
0.5319,1,FALSE,0,1,"s1","speed"
0.5083,1,FALSE,0,1,"s1","speed"
0.4959,1,FALSE,0,1,"s1","speed"
0.5468,1,FALSE,0,1,"s1","speed"
0.6177,0,TRUE,0.0715,1,"s1","speed"
0.6811,1,FALSE,0,1,"s1","speed"
0.3452,1,FALSE,0,1,"s1","speed"
0.3664,1,FALSE,0,1,"s1","speed"
0.3464,1,FALSE,0,1,"s1","speed"
0.2918,0,FALSE,0,1,"s1","speed"
0.451,0,FALSE,0,1,"s1","speed"
0.8223,1,FALSE,0,1,"s1","speed"
0.5431,1,FALSE,0,1,"s1","speed"
0.3602,1,FALSE,0,1,"s1","speed"
0.3993,1,FALSE,0,1,"s1","speed"
0.3244,0,FALSE,0,1,"s1","speed"
0.4305,1,FALSE,0,1,"s1","speed"
0.3818,1,FALSE,0,1,"s1","speed"
0.2941,1,FALSE,0,1,"s1","speed"
0.2101,1,FALSE,0,1,"s1","speed"
0.2425,0,FALSE,0,1,"s1","speed"
0.3428,1,FALSE,0,1,"s1","speed"
0.2742,0,FALSE,0,1,"s1","speed"
0.3818,0,FALSE,0,1,"s1","speed"
0.7137,1,FALSE,0,1,"s1","speed"
0.3598,1,FALSE,0,1,"s1","speed"
0.2654,1,FALSE,0,1,"s1","speed"
0.2755,1,FALSE,0,1,"s1","speed"
0.3352,1,FALSE,0,1,"s1","speed"
0.3689,0,FALSE,0,1,"s1","speed"
0.4629,1,FALSE,0,1,"s1","speed"
0.3919,1,FALSE,0,1,"s1","speed"
0.6287,1,FALSE,0,1,"s1","speed"
0.5355,1,FALSE,0,1,"s1","speed"
0.5618,1,FALSE,0,1,"s1","speed"
0.3608,1,FALSE,0,1,"s1","speed"
0.3974,0,FALSE,0,1,"s1","speed"
0.4885,1,FALSE,0,1,"s1","speed"
0.5469,1,FALSE,0,1,"s1","speed"
0.4802,1,FALSE,0,1,"s1","speed"
0.5468,1,FALSE,0,1,"s1","speed"
0.4588,0,FALSE,0,1,"s1","speed"
0.5134,0,FALSE,0,1,"s1","speed"
0.4965,1,FALSE,0,1,"s1","speed"
0.5065,1,FALSE,0,1,"s1","speed"
0.5114,1,FALSE,0,1,"s1","speed"
0.3983,0,FALSE,0,1,"s1","speed"
